city,city_id,city_alt,lat,lng,country,iso2,iso3,admin_name,admin_name_ascii,admin_code,admin_type,capital,density,population,population_proper,ranking,timezone,same_name,id
Issy-les-Moulineaux,0,Issy|Issy-les-Moulineau,48.8239,2.27,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,17210.4,68451,68260,2,Europe/Paris,FALSE,1250923546
Noisy-le-Grand,78,Noisy,48.8478,2.5528,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,5260.7,68183,68126,2,Europe/Paris,FALSE,1250182208
Courcouronnes,99,,48.6239,2.4294,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,3087,67967,13490,2,Europe/Paris,FALSE,1250579473
Vénissieux,35,,45.6978,4.8867,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,,4378.9,65894,65894,2,Europe/Paris,FALSE,1250755963
Cergy,91,,49.0361,2.0631,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,5692.9,65177,65177,2,Europe/Paris,FALSE,1250553439
Bourges,36,,47.0844,2.3964,France,FR,FRA,Centre-Val de Loire,Centre-Val de Loire,FR-F,region,minor,940.8,64551,64551,3,Europe/Paris,FALSE,1250043242
Levallois-Perret,59,Levallois,48.895,2.2872,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,28563.6,64379,64379,2,Europe/Paris,FALSE,1250809881
La Seyne-sur-Mer,15,La Seyne,43.1,5.883,France,FR,FRA,Provence-Alpes-Côte d’Azur,Provence-Alpes-Cote d'Azur,FR-U,region,,2836.6,63936,62888,2,Europe/Paris,FALSE,1250392648
Pessac,19,,44.8067,-0.6311,France,FR,FRA,Nouvelle-Aquitaine,Nouvelle-Aquitaine,FR-NAQ,region,,1658.3,63808,63808,3,Europe/Paris,FALSE,1250292604
Valence,67,,44.9333,4.8917,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,minor,1764.1,63714,63714,3,Europe/Paris,FALSE,1250486068
Quimper,53,,47.9967,-4.0964,France,FR,FRA,Bretagne,Bretagne,FR-E,region,minor,748,62985,62985,3,Europe/Paris,FALSE,1250490127
Antony,30,,48.7539,2.2975,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,minor,6575.1,62570,62570,2,Europe/Paris,FALSE,1250570123
Ivry-sur-Seine,70,Ivry,48.8078,2.3747,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,10378.5,62052,62052,2,Europe/Paris,FALSE,1250904640
Montélimar,92,,44.5581,4.7508,France,FR,FRA,Auvergne-Rhône-Alpes,Auvergne-Rhone-Alpes,FR-ARA,region,,842,61861,39415,3,Europe/Paris,FALSE,1250664551
Troyes,40,,48.2997,4.0792,France,FR,FRA,Grand Est,Grand Est,FR-GES,region,minor,4696.7,61652,61652,2,Europe/Paris,FALSE,1250800856
Clichy,28,Clicy,48.9044,2.3064,France,FR,FRA,Île-de-France,Ile-de-France,FR-J,region,,23019.2,61070,61070,2,Europe/Paris,FALSE,1250104726
Cherbourg,10,,49.6333,-1.6,France,FR,FRA,Normandie,Normandie,FR-NOR,region,minor,2310.3,60991,60991,2,Europe/Paris,FALSE,1250026751
Montauban,47,,44.0181,1.3558,France,FR,FRA,Occitanie,Occitanie,FR-OCC,region,minor,450.9,60810,60810,3,Europe/Paris,FALSE,1250412579
